YEAR,AUDI,BMW,HYUNDAI,KIA,MERCEDES,MITSUBISHI,NISSAN,TESLA,VOLKSWAGEN,VOLVO
2010,0,0,0,0,0,27,0,47,0,0
2011,0,0,0,0,2,124,640,26,0,0
2012,0,0,0,0,5,107,695,13,0,0
2013,0,178,0,0,7,3,1814,1,30,75
2014,66,1699,6,20,25,5370,4459,718,145,163
2015,1198,3075,7,129,1039,11784,5976,1472,1515,152
2016,636,7291,71,395,5832,9449,5544,2497,2134,1884
2017,933,13120,567,731,4496,7502,6595,4755,3967,2236
2018,723,17095,1652,1845,2540,8704,6078,3366,5960,2265
2019,1517,15772,2236,1946,1881,6196,7156,13164,4121,2971
2020,9806,19310,7891,10134,16106,3735,10722,24779,10245,7902
2021,21785,30071,14371,18430,27173,2115,11137,34865,21061,15650
2022,19119,38116,18302,20684,26507,1,11196,54664,24518,15717
